MMSI,ShipName,Latitude,Longitude,Cog,TrueHeading,ShipType,Draught,Length,Time
470424000,SHAHEEN  2020,25.264835,55.27569333333334,317.9,511.0,,,,2026-01-18T23:00:27.488226
470456789,BADR,25.262475,55.25857666666666,360.0,511.0,,,,2026-01-18T22:58:24.334202
470530000,ABDUL SATTAR 2006   ,25.27218,55.259213333333335,360.0,511.0,,,,2026-01-18T22:57:34.464523
470709000,RIG AL BZOOM  ,25.262528333333332,55.257895,0.0,511.0,,,,2026-01-18T23:03:56.832635
470890000,DUBAI SHADOW        ,25.269233333333332,55.27526666666667,36.0,51.0,60.0,4.9,,2026-01-18T22:59:49.429661
471333000,NAMER,25.264925,55.27555333333333,360.0,511.0,,,,2026-01-18T22:54:54.506273
533110715,AURORA X            ,25.26205,55.27518333333333,359.1,359.0,,,,2026-01-18T22:54:52.132704
538003761,TOPAZ KHOBAR        ,25.270083333333332,55.25687833333333,272.7,102.0,,,,2026-01-18T23:01:41.046601
538007319,TOPAZ AMUR,25.253725,55.27316,172.6,305.0,79.0,3.0,,2026-01-18T22:57:17.056194
538007807,    SEACOR DEFIANCE ,25.268908333333332,55.260935,10.3,190.0,90.0,3.8,,2026-01-18T22:56:01.113920
538072109,JIMMY               ,25.210561666666667,55.234065,185.6,4.0,37.0,0.0,,2026-01-18T22:57:01.184259
572332220,RAWABI30            ,25.26933166666667,55.25669333333334,153.2,105.0,25.0,4.5,,2026-01-18T22:57:01.491417
572342220,RAWABI35            ,25.273183333333336,55.26047166666667,94.7,511.0,,,,2026-01-18T22:55:13.150677
572345220,RAWABI 37,25.269043333333332,55.26049666666667,99.9,193.0,52.0,4.5,,2026-01-18T22:56:50.022855
572525220,RAWABI 208          ,25.269015000000003,55.26041,192.1,511.0,,,,2026-01-18T22:57:29.140427
572532220,RAWABI 43           ,25.273053333333333,55.261215,92.7,187.0,38.0,5.0,,2026-01-18T22:55:46.839830
572533220,RAWABI44            ,25.270911666666667,55.25712333333333,319.2,101.0,90.0,4.2,,2026-01-18T22:56:45.414229
620999777,NOIR CHIC ,25.266851666666664,55.26072833333333,0.0,511.0,,,,2026-01-18T22:56:01.276068
636020243,MARSOL SCAMANDER    ,25.26953166666667,55.256816666666666,265.0,511.0,,,,2026-01-18T22:58:14.257049
636020246,MONJASA SERVER      ,25.212695,55.065693333333336,215.6,218.0,89.0,6.7,,2026-01-18T22:56:22.373262
636021496,ZAKHER              ,25.444893333333333,55.035066666666665,113.4,263.0,,,,2026-01-18T22:56:44.375315
636023914,CPG ALMA,25.264981666666664,55.261676666666666,113.9,192.0,,,,2026-01-18T22:56:21.041851
720017000,MIDAS 7,25.271310000000003,55.28768,33.9,511.0,70.0,3.6,,2026-01-18T22:54:51.338864
