SHIP_ID,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,WIDTH,L_FORE,W_LEFT,ROT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
9423334,12.29895,71.087746,0,16,,432,CLASS B,IN,18,UTHESH NET1 62,2,8,10,4,,,,,,
6932542,19.396833,70.188583,56,190,,1370,CLASS B,IN,26,SEA MOTHER,2,6,16,4,,,,,,
9225083,19.020054,73.059937,0,145,136,14,CLASS B,IN,52,DUL DUL IV,7,10,37,6,,,,,,
9769279,12.440514,71.245293,2,88,,498,CLASS B,IN,0,ROLEX BOUY 3 92,2,0,0,0,,,,,,
9438918,22.547745,70.030334,3,111,156,347,CLASS B,IN,61,BALDEV SAGAR,7,13,45,6,,,,,,
7408144,12.666616,68.156425,50,179,,1395,CLASS B,LK,16,IMULA 0561 CHW,2,6,10,4,,,,,,
10043269,11.648579,74.750244,8,320,,579,CLASS B,IN,26,KOHINOOR,2,6,16,4,,,,,,
8522374,16.450293,72.22216,2,16,16,88,CLASS B,IN,10,VALANAR NET5 83,2,5,6,2,,,,,,
6967205,10.983974,75.477203,2,358,,1210,CLASS B,IN,10,NET ROME BUOY 2,0,6,6,3,,,,,,
9677681,12.935739,73.828918,3,218,,84,CLASS B,IN,0,JERO NET 7 99,2,0,0,0,,,,,,
3951740,21.607161,69.54126,37,82,,1021,CLASS B,IN,52,ZAID,7,10,44,5,,,,,,
9299837,19.34096,72.839241,0,326,326,181,CLASS B,IN,21,JAI JIVDANI IV,2,8,16,4,,,,,,
10234546,18.700897,69.876221,1,329,,292,CLASS B,IN,0,BIHA MOL 199,2,0,0,0,,,,,,
9087962,13.124333,73.72599,5,0,,54,CLASS B,IN,16,DEVANNAI NET195,2,6,10,4,,,,,,
10224089,14.43801,70.280479,3,316,306,134,CLASS B,IN,0,ATHIRA NET 2 90,2,0,0,0,,,,,,
9804290,10.533977,75.733444,0,355,,943,CLASS B,IN,0,MANNAN NET 1 94,2,0,0,0,,,,,,
7483231,14.705265,73.591179,25,142,,25,CLASS B,IN,22,AGASTYA,2,6,12,4,,,,,,
9238080,18.597626,72.303345,1170,188,,310,,--,0,SAR 21221,3,0,,,,,,,,
6898006,12.78309,68.087944,8,111,,1336,CLASS B,LK,13,MADU RAJINI 06,2,5,8,3,,,,,,
9010482,17.938128,66.991264,30,349,,243,,CN,57,LURONGYUANYU902,2,10,30,5,,,,,,
TnprME16QTNOemswTXpBM056azBNdz09LXRiTlRxamdtMUxseTdIWmxjUTNPR3c9PQ==,17.915001,66.964996,40,,,84,,,,[SAT-AIS],2,,,,,,,2,Fishing,Default
TWpNeE1USTRNak14TVRJNE1qTXhNUT09LS9CNkF5MmlGcEVhQU9qa3hERjhscEE9PQ==,17.879999,67.110001,0,,,910,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
6096579,15.635616,72.685364,5,292,0,42,CLASS B,IN,10,JERUSELAM 4 100,0,6,6,3,,,,,,
9941637,18.831011,69.459396,1,349,,161,CLASS B,IN,0,ST PIO NET1 63,2,0,0,0,,,,,,
9779372,12.46849,71.331581,1,48,,422,CLASS B,IN,0,ROLEX BOUY 2 96,2,0,0,0,,,,,,
9050596,11.21848,75.547798,78,287,,354,CLASS B,IN,26,KRUPASANAMATHA,2,6,16,4,,,,,,
8841570,11.679795,74.343376,6,220,,585,CLASS B,IN,26,ANTHONY,2,6,16,4,,,,,,
3085144,12.50549,74.973053,,,,684,,--,0,VTS 4192240,0,0,,,,,,,,
6541400,22.410166,69.072121,0,0,0,249,CLASS B,IN,20,HMB SARKAR,3,6,5,4,,,,,,
T0RZd09EYzFPRFl3T0RjMU9EWXdPQT09LVRONktBOHFlL1BORUNma2pYOS9DdXc9PQ==,14.856667,67.261665,0,,,9,,,,[SAT-AIS],2,,,,,,,2,Fishing,At Anchor
6022686,12.4484,71.983543,54,258,,14,CLASS B,IN,26,LOORTHU ANNAI,2,6,16,4,,,,,,
7946101,13.29357,73.747734,2,275,,94,CLASS B,IN,21,ARK NET BUOY 1 94,2,6,0,0,,,,,,
9126337,16.655088,72.09127,2,307,307,679,CLASS B,IN,0,ISRAEL NET 3 87,2,0,0,0,,,,,,
6967366,18.541111,72.933922,8,348,42,415,CLASS B,IN,2,OCEAN BIUE,3,2,0,0,,,,,,
6445740,11.596949,74.667946,6,116,,579,CLASS B,IN,19,BLUE DAIMOND,2,15,0,0,,,,,,
9996741,15.150538,73.80275,0,47,47,928,CLASS B,IN,0,DYSON NET 279,2,0,0,0,,,,,,
5825263,12.592713,72.678963,59,243,,981,CLASS B,IN,26,JESUS LOVE,2,6,16,4,,,,,,
TVRFeE1EZ3dNVEV4TURnd01URXhNQT09LVpTVXEzNis4YUFsMUIwTVZmbkJ1d3c9PQ==,12.115,67.860001,80,,,17,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
8804812,14.863502,73.606644,2,340,,192,CLASS B,IN,26,NEW ALPHA,2,6,16,4,,,,,,
9125782,16.634634,72.128067,2,306,306,707,CLASS B,IN,0,ISRAEL NET 4 88,2,0,0,0,,,,,,
T0RVMU1ETXpPRFUxTURNek9EVTFNQT09LUJtUWNZaGRSVzJJVEhBVG1kMEl0Y3c9PQ==,18.133333,67.135002,0,70,,17,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
27221,22.238476,68.958344,,,,186,,--,0,VTS 4192211,0,0,,,,,,,,
9036535,18.705099,72.812706,0,,0,2,,IN,7,ROS MUMBAI,7,2,4,1,,,,,,
5297141,17.50528,72.858253,0,0,21,105,CLASS B,IN,90,JALARAJ,2,26,80,24,315,,,,,
8991812,17.332088,67.598541,12,200,,431,,CN,69,LURONGYUANYU230,2,11,30,6,,,,,,
TXpjeE56YzVNemN4TnpjNU16Y3hOdz09LVRaWm9OSGVqUThHRDlZSmpJM3BNTWc9PQ==,17.376667,67.598335,10,,,80,,,,[SAT-AIS],2,,,,,,,2,Fishing,Default
5773861,13.333665,73.64917,13,293,,69,CLASS B,IN,26,SAMUEL,2,6,16,4,,,,,,
8881301,12.466213,71.409393,0,46,,477,CLASS B,IN,0,XXX BOUY 2 99,2,0,0,0,,,,,,
7756622,11.135055,73.5093,55,273,,994,CLASS B,IN,26,MSV MARIA MATHA,9,6,16,4,,,,,,
852571,19.256155,72.33931,,,,2,,IN,6,AWB PAPPA305,1,6,0,0,0,,,,,
27229,21.203703,72.108932,,,,2,,--,0,VTS 4192219,0,0,0,0,,,,,,
1196866,17.565742,73.141228,,,,4,,--,0,VTS 4192229,0,0,,,,,,,,
9341599,13.112191,73.78302,3,288,,54,CLASS B,IN,0,MAHATHUVAM NET 4 62,2,0,0,0,,,,,,
6484271,18.71553,69.836533,5,11,,312,CLASS B,IN,10,BIHA MOL NET BUOYA 2,0,6,6,3,,,,,,
8345385,12.332608,74.144241,1,102,,352,CLASS B,IN,10,NEW IMMANUVEL 5,0,6,6,3,,,,,,
9597613,20.440346,72.608536,1880,56,,488,,IN,0,SAR 419000770,3,0,,,,,,,,
5168521,18.05076,72.577576,1320,212,,302,,--,103,SAR 41381,3,17,,,,,,,,
9850019,16.474661,72.051537,1,267,267,705,CLASS B,IN,0,VALANAR 185,2,0,0,0,,,,,,
5721869,11.218085,74.980934,30,303,,736,CLASS B,IN,26,ANN SHAYNA,2,6,16,4,,,,,,
7024948,11.260839,74.00293,34,209,,901,CLASS B,IN,26,K C,2,6,16,4,,,,,,
9713593,12.814067,74.789284,35,164,,9,CLASS B,IN,26,MORNING STAR 3,2,6,16,4,,,,,,
